Symbol,Value
DOGUS,
wMBX,
BLANK,
DPH,
FYZ,
LYXe,
PBR,
B20,
OCTO,
API3,
COIN,
SDX,
CPIT,
aHIPPOv2,
MAGGOT,
1UP,
WBTC,
POLK,
SPIC,
SWAP,
UMX,
SPI,
PHA,
MRPH,
KIN,
DAI,
AXN,
LINK,
HEX3T,
HEX2T,
